seed,attack_enabled,attack_scale,target_client,canary_src,canary_dst,canary_loss,control_loss,exposure_gap,target_rank,mi_auc,mi_member_mean_loss,mi_nonmember_mean_loss
302,True,1.0,1,125,126,4.8185777870303514,4.86014114534612,0.041563358315768184,6,0.5,4.818518286435495,4.818515480712518
322,True,1.2,1,125,126,4.842274177717762,4.864322480208982,0.022048302491220362,39,0.5,4.823917682324945,4.82390334839737
342,True,1.4,1,125,126,4.559897014287627,4.826119838349035,0.2662228240614075,1,0.515625,4.822294569611124,4.82230410001999
362,True,1.6,1,125,126,4.943146349641595,4.859465183287338,-0.08368116635425693,92,0.5,4.829563689658255,4.8295705885557085
382,True,1.8,1,125,126,4.800695398921225,4.860225249216338,0.05952985029511293,25,0.46875,4.825091931217326,4.8249325017732545
